SARS-CoV-2_L2FC,padj_SARS-CoV-2
SLAIN1,0.1652387878,1
THSD7A,-0.6807830549,1
PSMD6-AS2,-0.2794877442,0.6039151783
SKP2,-0.0835933994,0.8190789496
FAM183B,-0.046771632,1
CASQ2,0.1083457996,1
UIMC1,0.2463527128,0.2713157328
VCP,0.1702159868,0.2127619446
VPS39,-0.0460480071,0.8788364373
NT5DC2,0.0558408222,0.8763646235
NFIB,-0.2185327487,0.2783167927
MED9,-0.0559989551,0.925015887
MEIG1,0.2144261593,1
MECP2,0.0369671876,0.9161200456
LDHB,0.0438695112,0.8752817645
ZFP28,0.2375651541,0.5039167762
SPATA32,0,1
KLB,-0.0883708543,1
PCDHGA11,-0.3674532477,0.4696982801
VPS53,0.1491470883,0.3667771996
TMEM41A,-0.1254273447,0.6443807805
MAP4,0.110938847,0.6025776706
DUSP19,-0.3081310885,1
USP11,-0.0146644102,0.9802686554
AGBL1,0,1
RAB17,0.1076202773,0.8861783093
RRP12,0.3645686837,0.1542422596
DNAJC21,-0.022177777,0.9428681122
METTL14,-0.208564038,0.4571148163
PRCC,0.1597542319,0.3077208175
SDK2,-0.0756481279,0.852004769
BDKRB1,0.1032407462,0.9159138287
UBE2Q1,-0.0656329933,0.7568888663
RAD51B,0.193722837,0.7522054484
PDE8B,0.0195616224,1
AKAP14,-0.0428080716,1
MARS,0.1865881168,0.1493468339
ESD,-0.1595528567,0.4487508485
LOC100507250,-0.2132399545,1
KIAA0141,0.0183676927,0.9650213661
SV2C,-0.0428080716,1
SEPT7P2,-0.1579771136,0.8110650114
APH1B,-0.2002195517,0.608856922
NME6,0.1024734333,0.8044594057
KHDC1L,-0.1850786869,1
MCU,-0.060580078,0.8314003338
NUP93,0.2509882672,0.18907585
POFUT1,0.0232821476,0.9385219871
MIR203,0,1
SNORD98,-0.0222886954,1
DHDDS,0.2172258956,0.1313966924
SLC35E3,-0.0343115463,0.9618636429
PART1,-0.4432095753,0.4063006107
MAB21L1,-0.5239944289,0.3751755138
ZSCAN5A,0.1755193671,0.8234383423
PBX3,-0.2469763921,0.3324531203
LRRC47,0.1746258885,0.4270068992
DDX31,0.1666710447,0.6821040893
TMC5,-0.0879155257,0.9013967748
ATP8B5P,0.0424096227,1
B3GALT4,0.1254227182,0.89038159
PRUNE,-0.0941890652,0.7905393232
RABL2B,-0.0278850736,0.9612292814
STARD13,0.2557427136,0.3810376338
RBMX,-0.0091297661,0.976273966
NBEA,-0.3706922019,0.4679018942
LOC643339,-0.0130343913,1
LOC283299,-0.4468846027,0.4653451599
FAM86B2,-0.2217382863,1
DPH2,0.0795571781,0.8697851386
KRTCAP3,0.1269663932,0.7593211122
FOXP2,0.128248729,1
MIR4449,0,1
EPHX2,-0.0623185765,0.9265442048
RPAIN,0.0395698193,0.9325685294
POM121,0.1342692894,0.6246503327
SLC25A34,0.1804953576,0.8451122722
RBM14,0.1339188089,0.7156591486
CRYZL1,0.0124077283,0.9863966479
ASIP,0.036392744,1
DYNLRB2,-0.0407475915,1
RAE1,0.0488617957,0.8841801518
TTC9C,-0.0259462574,0.9663280896
FOPNL,-0.0152985031,0.9705297266
SEMA3F,-0.0448045771,0.9160905808
SENP3-EIF4A1,0.447582609,1
GLB1L2,0.1267833794,0.7905393232
ZNF263,-0.0432072227,0.8893085969
CPT1C,-0.148683003,1
KCNF1,-0.1690199026,1
HOXA2,0.05666607,1
KIAA0556,0.1548132071,0.5679698502
MB,0.0048812035,1
PTMS,-0.0265668293,0.9155064392
TECPR2,-0.060588668,0.8752817645
LMX1B,-0.0358031927,1
CDC26,0.0245333662,0.9591320634
GGT1,0.2805196196,0.5610323994
ZNF195,0.0565837561,0.9013967748
MGRN1,0.1913608997,0.5250076119
SORCS3,0.0661300831,1
CCDC170,-0.209400719,1
KDELR1,0.0135969081,0.9699241186
ERVV-1,-0.0032308219,1
PCDHB5,0.0005612852,0.9997732213
GOLPH3L,-0.1458418816,0.5538187445
HOXB7,0.2238043087,0.708475473
PUS7,0.0722087413,0.8469060307
PTGFRN,0.033993145,0.8506574997
LOC541473,0,1
YARS,0.0462895488,0.8893085969
DNAJC14,-0.0206611665,0.9440245387
MTHFR,0.0056472113,0.989955395
VDAC1,0.1788260943,0.4717980851
DGKD,0.2454926191,0.5389576047
DNTTIP2,0.0455889517,0.9031109443
SFTA1P,-0.0148500713,0.9802686554
AAR2,-0.1165414062,0.7253333887
ZNF781,-0.0464224764,1
TSHZ3,-0.1663586097,0.6592450997
RLN2,0.0424626524,1
DCAF4,0.0283665983,0.9530926846
SPOCK1,-0.1424038795,0.3182786351
COPG2,-0.0862374044,0.8643253434
HUS1,-0.015787529,0.9791144234
LINC00662,-0.0992446678,0.8893263487
SND1,0.1475363189,0.3686651445
TOMM22,-0.041569044,0.9111710146
ECD,0.0639726242,0.8740249078
BVES-AS1,0.0424077643,1
CDIP1,-0.0319870926,0.9212049727
KCNK7,-0.0047295156,1
ANKDD1B,-0.0766695295,0.9417923836
CHFR,-0.0231092578,0.9618636429
DMRTA1,-0.3850953315,0.5775011822
LOC100507140,-0.2646249126,0.7381953672
SPATA6,-0.5024444225,0.3135597854
ROBO1,0.1879697238,0.4662887525
LOC96610,0.2220044645,0.4491805959
TMEM241,0.0927405801,0.8914717936
DBF4B,0.1195793901,0.8475179229
TNFRSF13C,0.078746458,1
ZNF280D,0.1016652928,0.852053128
GALK2,0.1601836378,0.6254453504
URGCP,0.18877347,0.4249356611
ANAPC1,0.0017119667,0.9958828394
SNORD29,-0.2990382875,0.6936136143
MTX2,0.0784233027,0.7588859547
DHX32,0.0431312743,0.893993197
KIAA1586,-0.0033369335,0.9969893112
HSP90AB1,0.2247638557,0.1551932517
FAM120C,0.3001360361,0.6234739155
NIPSNAP3B,0.1653861682,1
HNRNPUL2,0.0110489041,0.9768646531
PDE7A,0.2044290037,0.4603193753
LINC00852,-0.1605906242,0.8534111221
LOC100133985,0.0579848923,1
FBXO42,0.0170343794,0.9743966531
NCAM1,0.0489913498,1
NARG2,-0.373755765,1
EXOSC7,0.1111015072,0.6753755375
CLIP1,0.0264631695,0.9265442048
PPP2R1B,0.0792158166,0.8064448676
KRT74,-0.4571659893,1
FAM90A1,0.0826095666,1
ZBED1,0.0836076668,0.8222189455
PCDHGC5,0.0457361146,1
SERPINC1,0.1980884915,1
RTN3,-0.1122857729,0.5542143473
TM9SF1,0.1927436576,0.2145228288
CMC4,-0.1125827297,0.896983723
SNORD46,0.0850367527,1
CAMK2N2,0.1798263046,1
SRBD1,-0.1101823849,0.7854338571
MTMR8,-0.197241312,0.8239883404
FASTKD3,-0.2529601267,1
ZHX2,-0.0283471195,0.9433537196
SUV39H2,0.1016129656,0.8875400946
SLBP,-0.1875217675,0.5093201034
RIMS3,-0.2250838163,0.7103499201
PPWD1,-0.2003881799,0.4538813251
SLC39A7,0.0506399346,0.8168540505
VPS37C,0.1090655749,0.7338112637
GJB7,-0.0428080716,1
EMILIN1,0.1979205847,1
ZDHHC7,-0.0858001954,0.6415180226
MKI67IP,-0.122162805,0.6018395571
RPL22L1,-0.2339235236,1
ARMCX4,0.2085482835,0.7880576447
MIF4GD,0.4266083249,0.2155535409
NUDT11,-0.0687826516,0.8978702745
PTPRB,-0.0012052967,0.9987580998
SORBS3,0.0560754107,0.8710014159
SLC51A,0.235269546,1
CDH11,0.1961952328,0.458065841
PIK3R4,0.0671231703,0.8729033531
MEF2D,0.1242862856,0.458478525
PREP,0.1361677259,0.5603245386
TERC,-0.1188861923,1
TMEM81,0.1150182538,0.8752817645
LOC201651,0.1012231086,1
SPATS2,0.1281271527,0.6793718448
ZNF485,0.3096267538,0.5488060306
HP07349,0.0778540702,1
SCARNA7,-0.0319412598,1
UBOX5-AS1,0,1
PPIL1,0.0353027765,0.9404898355
CCNE2,-0.0554032316,0.9568379941
LINC00696,0.4238667925,1
ORMDL3,-0.0694590956,0.7944436306
RAF1,0.1636783295,0.3771265728
SRSF10,0.0457409883,0.8910069821
KIF1C,0.1816307704,0.1702197464
SNORD15A,-0.0825899675,1
LAMB2,0.0430484895,0.9090377732
ZC3H7A,-0.1169129304,0.6284186537
CCDC3,-0.0462550048,0.9663280896
DOPEY2,-0.0320988818,0.9436906945
WNK1,-0.1812297302,0.181965538
KIAA0825,0.0989666916,0.9227576139
AP5M1,-0.2097437445,0.6515335466
ST3GAL6-AS1,-0.031239275,1
TMEM133,-0.2182269181,0.7964052588
GALNT11,0.0031404206,0.9930473137
RBM26-AS1,0.0495473942,0.9601289823
AIFM3,-0.2782392037,0.6196668822
TIAM1,-0.013891872,0.9806823947
MCF2L2,-0.5792086039,1
ASTE1,0.0530054006,0.9428681122
GMPR2,-0.0104262941,0.9777912429
UBAC2-AS1,-0.3081100643,1
ABI3BP,-0.2159276027,0.7899466707
MRPS14,-0.0278900003,0.9580649645
NOP56,0.232491147,0.169194747
LOC100129917,-0.0048288639,0.9959357426
EI24,-0.0066466098,0.9831764749
PTGR2,-0.3557686343,0.2626100237
PLXNA1,0.0969872079,1
USP4,-0.0586784389,0.8653063804
NOL8,-0.1953545463,0.3691281219
C8orf47,0.3327767935,0.6290098304
CCDC115,-0.1057553321,0.7332015295
RNLS,-0.1864411381,0.7713926803
CTSW,-0.0428080716,1
TMEM170B,-0.1434042589,1
THUMPD3,-0.1671250053,0.478502772
ARL2BP,-0.1434311429,0.5954315392
PPP1R1C,0.0223929847,0.9752939565
MUT,-0.1391304642,0.6755524951
SLC15A4,0.0573712839,0.8892552813
DDX11-AS1,-0.0592501165,1
GPR89A,0.1302195358,0.8835784833
ZNF85,-0.2176644499,0.703805236
ADNP2,-0.0552806937,0.861019024
RMDN1,-0.3053674913,0.0703620803
CERS2,0.0811743769,0.6853714139
AATF,0.2352094861,0.2270332786
C16orf46,0.1591136444,0.8131610312
SNORD88A,0,1
FAM208A,-0.2219225405,1
MDH1B,-0.0407561454,0.9713267928
ERBB4,-0.1446659129,1
DIO2,-0.1423135006,1
PRMT1,0.3548356832,0.0904995982
LOC730102,-0.0938606454,0.8813484032
TDRD12,0.1416158769,1
BRIX1,-0.0960027301,1
RNASEH2B,-0.2672658613,0.624451088
TRMT10C,0.1640058083,0.7362376428
ADRM1,0.2293208361,1
SLC23A1,0.0450816015,1
MED6,-0.1478914691,0.6791538916
SSR2,0.1425024896,0.3560590569
TLR10,0.05209032,1
LOC286190,-0.0706133379,1
FAM81B,-0.0401961514,1
LOC100506178,0.5362669652,0.3641104104
MFI2,-0.0937520314,0.8042962312
ELP2,0.0676581717,0.8763646235
IFT80,-0.3569398516,1
KIF4B,0.0515372675,1
C20orf26,-0.0108349291,1
SPANXA2-OT1,0,1
LOC100128164,-0.0306268526,1
ELOVL2,-0.0370742771,1
CLDN18,-0.0568665068,1
NR0B1,0.0994577576,1
CYBB,0.01646143,1
SCN1A,-0.0447319424,1
ANGPTL3,0,1
EPHA7,0,1
PKI55,-0.2489393451,0.4953906429
SLC25A16,0.063221862,0.9216881248
INPP5D,-0.1311354229,0.4521199442
ARHGAP12,-0.1842432295,0.6397805233
NACA,0.0067468867,0.9884345849
PTGER1,-0.0779621815,1
FAM161B,-0.075510443,0.896983723
TBCE,0.0739729565,0.8277527111
FAM168A,-0.0381299507,0.9238692265
C16orf55,-0.2437967665,0.6842972734
C20orf194,0.0842734012,0.8131610312
CTDSP2,-0.0689495278,0.8201884936
ZDHHC6,0.090088471,0.859747817
FAM98A,0.0718438682,0.8234383423
C6orf226,0.2837849369,0.7216850898
FAM213B,0.0580684303,0.891088257
PLXDC1,-0.0975848227,1
CREBZF,-0.1164676217,0.7465977814
LINC00235,-0.031239275,1
RNU6-78,0,1
CSNK1G2-AS1,0,1
PEX3,0.017457189,0.9744691196
DIP2A,0.1288313212,0.666140459
SCARNA15,0,1
KCNJ2-AS1,0.0117305942,1
SEPN1,-0.0187409239,0.9616208329
SLAIN2,-0.0801979289,0.7843567304
SENP8,-0.6247891236,0.1427582654
LOC441461,0.0741651073,1
RSC1A1,0.0132717799,0.9843520732
FAM69A,-0.1200555704,0.7740280619
PABPC1L,-0.0385084025,0.9568907438
TBCK,-0.278712006,0.253464589
COPZ1,-0.0531002795,0.874328943
ALDH5A1,-0.0239006394,0.9788805406
ZMYND12,0.2341326132,1
ZNF236,-0.0446365307,0.9325685294
COPB2,0.0940295026,0.6716379668
C1orf162,-0.1411760045,1
CYP27C1,0.210388777,0.5546580243
OOEP,-0.0346883897,1
RBM19,0.1938144249,0.371355066
NXN,0.061415297,0.8088528926
RNF103-CHMP3,0.1227708086,1
FAM201A,-0.0899406654,1
SLC27A6,-0.7100231982,0.1555580137
MLL5,-0.1160114315,0.5109663722
AP1S3,-0.1433741787,0.468839977
COPS3,-0.1079870927,0.7169104286
NEK8,-0.0217829925,0.9813100492
TSPAN4,0.1172099565,1
TMEM254-AS1,-0.0467454479,1
LOC100506233,0.3126980946,0.4463519309
JAM3,-0.3393360161,0.624451088
SETD3,-0.063158062,0.8119326279
PDCD6IP,-0.0717304376,0.7077605551
FAM155B,-0.0509130398,0.9402611455
CCDC57,0.0221023583,0.977307645
HLA-DQA1,0.1560806171,1
SNORD102,-0.1138608117,1
M1AP,-0.1567388272,0.8608087684
MSH3,-0.0632020609,0.891088257
GEN1,-0.4618976318,0.1680053733
SNORA5B,-0.0485100912,1
SULT1E1,-0.3066129726,0.6842972734
TRMT61A,0.0553462316,0.9473928098
SEC22B,0.081407994,0.7332015295
UBXN2B,-0.2177648994,0.5389576047
GCFC2,-0.2252051804,0.7437820465
IKBIP,-0.1469201815,0.7439144179
SREBF2,0.0307925672,0.8924304963
DIP2A-IT1,0.0813823894,1
HACL1,0.0090370668,0.9884248088
ZNF581,0.1309200335,0.8105251207
C20orf202,0,1
SFXN1,-0.0567616842,0.8752817645
PCDHAC1,-0.3727667581,1
SNORA45,0.0254628047,0.9808120618
MARK2,0.1086685296,0.7365112359
MIR181A2HG,-0.4360525193,1
HSPA12B,0,1
ATP8A1,-0.2784976993,0.7244290083
FLJ33630,-0.1868417056,0.7522938136
MGARP,0.4194340052,1
CCDC88C,0.1037308051,0.7428175876
PTCHD4,-0.0966934412,0.9030387046
AKAP8,0.2019154204,0.366979843
CLSTN1,-0.0055301869,0.9865297016
CDH8,-0.2727062042,0.7365112359
VPS18,0.2031946052,0.2470065593
OLFML3,0.4966403977,0.4139363633
SNX29,-0.116764094,0.7164828894
TNKS1BP1,0.1850804486,0.3187569067
EZR,0.1124104928,0.4200293938
ASB14,0.1345234318,0.8890109385
GIN1,-0.0907413503,0.9012591621
BRPF1,0.1136652811,0.6842972734
LCLAT1,-0.3714543094,0.1166719363
MRPL3,-0.0935292019,0.8087730734
ARHGAP17,0.226532024,0.1261708809
KSR2,-0.054617993,1
VIT,-0.143896547,1
MFAP2,0.1695840295,0.5008153333
RNF216,0.0870030912,0.8035020043
TCEAL8,-0.047468459,0.8889950559
CYGB,0.1015307565,0.8528905038
CLK4,-0.2647527828,0.2067162294
NUP98,0.0610536596,0.8030955143
MAGEA11,0,1
LPAL2,-0.1570651579,1
IL21R,0.1541930321,1
EFCAB3,0.0456635501,1
HOXB-AS3,0.0028253152,1
CD22,-0.0381311505,1
MNX1,-0.031239275,1
BTBD18,0.036392744,1
CCDC166,-0.031239275,1
C10orf105,-0.0386558181,1
FAM5B,0,1
LOC100507066,0.0456635501,1
NAP1L6,-0.0428080716,1
ENHO,0,1
MIR92B,0,1
CHST5,-0.0641694721,1
LOC100133920,-0.0750006719,1
ROPN1B,0,1
MGC34796,0,1
LMAN1L,0.0700366468,1
USH1C,0,1
C5orf49,0,1
ADAMTS2,0.0195616224,1
PNOC,-0.065055539,1
FIGF,0,1
CD53,0,1
KLHL32,-0.0620516918,1
LOC100288814,-0.0447623764,1
C1orf146,0,1
MIR4256,0.0456635501,1
LIPM,0,1
OLFML1,0,1
GHSR,0,1
MIRLET7F1,0,1
LINC00398,-0.0972415336,1
RPP21,0.0195616224,1
CATSPERD,0,1
MAGEC3,0,1
SNORD91A,0,1
FRMD8P1,0,1
APOA2,0.0456635501,1
MIR4467,0.0278397009,1
ZNF648,-0.1184198759,1
MIR330,-0.1280025817,1
IGSF6,0,1
MIR3677,0,1
MIR222,-0.1708626395,1
CCDC89,0.2389105254,1
MIR4326,0.0006952273,1
TRIM60,0,1
TNRC18P1,0.1785396874,1
PRICKLE2-AS3,0,1
TMEM14E,0,1
KRTAP2-4,0,1
GALNT13,-0.0233422805,1
ZBTB8B,0.0778540702,1
MMP21,0,1
SLC12A1,0,1
CNTNAP5,0,1
LOC400084,0.2503728134,1
H2BFM,0,1
LOC100130673,-0.0350086709,1
HTR4,0.0456635501,1
CNTN4,0,1
IFNA21,0,1
C22orf15,-0.1200219094,1
TCERG1L,-0.2747685466,1
FAM169B,0.05209032,1
C1orf127,0.2765694387,1
ARRDC5,0.0502723906,1
LINC00675,0.0456635501,1
RFPL3,0.0450816015,1
OR5B21,0.037678422,1
HOXC5,0.036392744,1
LOC100130348,0.0148788935,1
LOC100130000,0.0006952273,1
WDR64,0,1
FAM24A,0,1
LOC100240735,0,1
OR6C6,0,1
MGAT4C,0,1
MIR4706,0,1
NLRP11,0,1
CRYGD,0,1
GHRH,0,1
COL6A4P2,0,1
TMED11P,0,1
MIR3684,0,1
KIAA1024L,0,1
SNORA38,0,1
GGNBP1,0,1
GBX1,0,1
MIR598,0,1
FABP12,0,1
SCARNA23,0,1
LOC100132831,0,1
PAGE4,0,1
MIR542,0,1
ASB17,-0.0447319424,1
MYH1,-0.0568665068,1
PKDCC,-0.0948997521,1
ADARB2,-0.2344657458,1
PRORSD1P,-0.0403376844,0.9707590491
RNF4,0.1860911617,0.1466406284
SNX12,0.0015042474,0.9959357426
MCEE,0.0007726148,0.9995492694
NIT1,0.053271032,0.8893618873
UPF1,0.011960221,0.976309989
SDHC,-0.1266946036,0.5594853576
SEC22A,0.0728999317,0.8967987745
MOXD1,0.0054920257,1
EFHB,-0.0631567861,1
SLCO1B3,-0.3809805612,1
DPH1,0.0839607232,0.8655004468
AKR1B1,0.3258716985,0.0703416259
LOH12CR2,-0.4757307736,1
VPS52,0.0307396304,0.9224281707
TMEM115,0.0986008979,0.6919499426
SLFN12L,0.0707948446,1
GLO1,-0.1503731762,0.6772193074
HNRNPA1,-0.2420301848,0.455502795
FAM114A1,0.0873271969,0.6217003874
LINC00327,0.01646143,1
CNTN5,-0.119063929,1
SUPT6H,0.120672363,0.4809549739
ELOF1,0.3198702017,0.1261708809
AGPAT4,0.0883061849,0.8118824798
TAS2R14,0.0511454987,1
CACNA1F,0.036392744,1
TMEM161B,-0.0010714376,0.998851413
SPRTN,-0.0233144406,0.9646501017
SLC24A4,0.1794785147,1
RTN4IP1,-0.0886276761,0.9009303875
FUT8,0.0312081003,0.9529315645
SDCCAG8,0.0176740984,0.9713643963
LOC100130581,-0.2923470385,0.7017947174
PCGF1,0.1613151892,0.679062463
PXN,0.0811149142,0.6842972734
BTBD16,-0.1572067824,1
RAD9B,-0.031698133,1
RYR3,0.0788545031,1
NINJ2,0.0257005315,1
TMEM192,-0.0945702201,0.8085854234
PCDHB2,-0.2660027073,0.7414686906
ZNF671,-0.0712647077,0.9110486201
LOC100133612,-0.393992702,1
TNPO3,-0.0542566345,0.852004769
LOC100272228,0.0763209658,0.9343688932
LOC339524,-0.2228192297,1
MRPS16,0.0380686147,0.8914717936
FBXL4,0.0559531444,0.9092363632
C11orf45,-0.2601942114,0.422461911
RHOBTB3,-0.3843973596,0.0686401945
RPP14,-0.0533874888,0.891088257
KANSL1-AS1,-0.0318028758,1
CCDC144B,-0.032707674,1
ALOXE3,-0.179767986,0.7777787653
SYCP2,-0.1860909692,1
KIAA1967,0.1160721439,0.5314757432
EID2,-0.2600802344,0.6483315239
ZNF384,0.0517699175,0.8653063804
ANKLE1,0.4653563245,0.401544745
DIRAS1,0.1929325114,1
TIMM22,0.2822002136,0.1236330134
PCDHB3,-0.0588471429,1
MGC2889,-0.3351371334,1
NRK,0.2439558621,1
SPG20OS,0.0042219047,1
OLFML2B,0,1
MIR4784,0.0641412185,1
CXCR5,0.1405237117,1
SNORA56,-0.0193949323,1
ACSM4,0,1
PMPCA,0.2558278189,0.0996955968
GPATCH2,0.1146488946,0.7522938136
PPIL4,-0.0089870866,0.9843520732
ASUN,0.0467279004,0.9032522958
MRPL35,-0.0197680179,0.9612292814
AASS,-0.0213225911,0.9663280896
EDC3,0.0888959145,0.7880576447
ATP2A1,0.0853961815,0.9283010683
SH3BGRL2,-0.2080274644,0.6116469621
KRTDAP,0.0505328034,1
MED20,-0.145062063,0.6284929476
HOXC9,0.0050348104,1
COX15,-0.1343276734,0.565366814
SNORD36B,-0.0997177549,1
TPPP3,0.1150445484,1
AMFR,-0.0028523915,0.9939976639
C11orf65,-0.3188194608,0.5978097816
LOC100507547,0.0181479708,0.9877118174
ARIH2,0.1165126909,0.6576555978
CERS5,0.0503262965,0.8793944828
MAP3K3,0.069334502,0.8456869913
CDHR3,-0.0362245757,1
SNORD51,0,1
CIB3,-0.0024385023,1
TMC1,0.0046632539,1
OPA1-AS1,0.0265696348,1
EFHC2,-0.0356279689,1
JMY,-0.313561122,0.2074928642
DFNA5,0.0337687124,0.9281914485
KLF16,0.1822578726,0.6024255628
PAXIP1,-0.1624303201,0.5572764298
C11orf70,0.2295735179,0.7663760078
SEC61A1,0.146197873,0.4369310969
ZNF780B,0.0302663298,0.974612709
BTF3L4,-0.1776986885,0.703805236
RNF212,-0.0392755066,1
RSG1,-0.4096620854,0.5141440241
LOC728752,0.3217007836,0.6574860501
SYNRG,-0.1322139514,0.4779242658
DAP,0.0502235743,0.8960634429
SRP19,0.0497896139,0.8893085969
FAM122B,-0.0776977178,0.7989599184
KCNE1,-0.113574607,1
FUNDC1,-0.2672534877,0.3077208175
DCTN1,0.1177116311,0.4924259856
XKRX,-0.0692047652,1
TRPM3,0.1046301859,1
LOC643723,-0.1326648393,1
CACYBP,0.0498834177,0.8752817645
PHYHD1,-0.3608179256,0.5830830664
PJA1,0.2012246693,0.2437936668
EIF4ENIF1,0.1928924926,0.4693522484
CNIH3,-0.1610698439,1
SNORD18A,0,1
JPH4,0.1446826215,1
ENTPD8,-0.0948997521,1
RASGRP4,0,1
PHF20L1,-0.143591555,0.5603245386
TTC13,0.0731497405,0.8710014159
SNORA76,0.0573129704,1
ABCA10,0.1263112394,0.8763646235
TCF7L1,0.1823595178,0.5886607542
LOC100505666,-0.399823789,0.5338041394
RGPD4,-0.0757739192,0.9412003363
DTYMK,0.0223961102,0.9744691196
TPM1,-0.0963029426,0.5712484696
ALDH8A1,-0.3828426827,1
ASB9,-0.3601786047,0.596793595
UBAP2,0.0743004318,0.7588859547
TENM1,-0.2163714857,1
JPX,0.1308458202,0.859374931
LRCH2,-0.0289996783,1
RASGRP1,0.3416528375,1
BBS5,-0.2086744447,0.7635467935
EMP3,-0.055052779,0.8997651818
DDX39A,0.1516213592,0.6234739155
XKR8,0.0948689389,0.8689024001
HIST1H2AM,0.0718470846,1
SLC41A3,-0.055658257,0.8868917919
SLC2A9,-0.1528401086,0.5978097816
PACSIN1,0.2149624342,1
WHAMMP1,0.1566712121,0.866202385
LRRC29,-0.3217312009,0.6591014952
CNOT11,0.0591258871,0.8307834645
BAX,0.0763931367,0.7618274098
PIFO,-0.3518799867,1
B3GNT6,0.2311214863,1
TBC1D15,-0.409908205,0.0843774589
ZNF681,-0.441188165,0.4291620591
HIBCH,-0.215209235,0.5300372098
IQCE,0.0168847345,0.9708338252
TTLL4,0.3045960481,0.33682239
SPATA17,0.3490139838,0.6254453504
TMEM120B,0.2878432999,0.2299715362
TVP23A,-0.1326943078,1
SMPX,0.0508197963,1
MIR4284,0,1
LOC100289673,0,1
LINC00616,0,1
FLJ14107,-0.0022939581,1
MIR1469,0,1
GUSBP9,-0.0568665068,1
CPXCR1,0.0195616224,1
KCNE3,-0.4508977398,0.4734469012
RGS9,-0.1284435237,1
SNORA2B,0.0195616224,1
PRAP1,0.0778540702,1
VTN,-0.0236434191,1
SEBOX,0,1
LINC00479,-0.2291552867,1
PABPC5,-0.1361506583,1
DPYSL5,0,1
HOXD-AS1,0,1
HOXA9,0,1
LAMP5,-0.0428080716,1
TRIML1,-0.1361506583,1
SPPL3,-0.0209566397,0.9579482207
NAA35,-0.162946452,0.703805236
FKBP9L,0.1056673241,0.7606686313
NAIP,-0.0625761836,0.9529315645
UBE2G2,0.0817918953,0.6844892867
MYBPHL,0.1623612326,0.8591601901
RPN1,0.0704891907,0.76328931
SNHG10,0.0507004088,0.9616626847
CCDC86,0.2728871642,0.1924463503
TGFBI,-0.1518699375,0.4513536669
PI4KA,0.1177222941,0.6246503327
TRAPPC2,-0.1225368959,0.75920843
ERMN,0.0302405596,1
FAM154B,-0.2309637637,1
FAM200A,-0.2764863343,0.5502756924
CAPZB,0.1188827143,0.583750124
TP53TG3D,-0.0024385023,1
LILRB3,0,1
RAD21-AS1,-0.2832314415,1
TXK,-0.0431510546,1
PFN1,0.2512318686,0.1056224325
POLR2B,-0.0986441799,0.737469616
SLC4A4,-0.3128617854,0.6782816003
SYNE1,-0.37187727,0.1337200389
LOC440028,-0.6921605224,0.1685013057
FRA10AC1,-0.2422772397,1
ZCCHC18,0,1
FCRLB,0.0699102333,1
ADAMTS3,-0.3764257139,1
ASPDH,0.0195616224,1
MRPL53,0.0488888191,0.943579872
PDXDC1,-0.0103274477,0.9682118504
LOC100505622,0.0023219043,1
CALR,0.1209671414,0.4693522484
SNORD30,-0.0639075474,0.9452197308
FGD3,-0.1805939861,0.8357354995
GPHN,-0.0870352819,0.8506574997
C10orf76,0.0430662675,0.9160905808
ROS1,0.3284006988,0.5731418119
LMCD1-AS1,-0.1354680585,1
IFNA1,0,1
LOC100130776,0.0343309554,0.9682118504
BEST1,0.150371578,0.868756845
DAZAP1,0.23360763,0.0613159915
MT1G,-0.5167471104,0.3699328966
TSSK1B,-0.0568665068,1
TOMM70A,-0.1404656514,0.6234739155
LOC100130855,-0.2456952027,1
METAP1D,-0.2034102362,0.7553860311
IGF2BP2,0.0619757013,0.7880927878
MFSD6,-0.0741522443,0.8049694843
MVB12B,-0.1907845796,0.7522938136
MYO3B,-0.5309056793,0.1942644417
PLEKHA8P1,-0.0117153367,0.989955395
KDM4B,-0.0152277088,0.9784839682
AKR1C3,-0.069598285,0.8165207162
SNORD22,-0.1784461935,0.8371821114
BCAS4,-0.2794356506,0.4859873414
GPR173,-0.0375756692,1
TMEM18,-0.1520701664,0.7441401402
AMIGO3,0.3164670386,0.6694701014
TEFM,0.1806448436,0.797828392
DBT,-0.2020755224,0.4163023319
RBP7,0.3209520837,0.6671747208
MLL,-0.0337472145,0.891088257
MARK3,0.1871284511,0.2532134619
LOC284757,0.2478732002,0.761621757
PLAC8L1,-0.1070411097,1
MARK2P9,0,1
FBXO22,-0.1933431848,0.4653451599
PCSK4,0.0861951022,0.9325685294
SDHAF2,0.0646821488,0.8502190832
LOC388499,0.0032800078,1
ZNF324,0.0794692397,0.8740249078
ACTB,0.1996988208,0.1756328174
INPP5F,-0.0989940092,0.7437820465
TPI1P2,0.2289705462,1
CDON,-0.0081207637,0.9930473137
ATPBD4,-0.2249395539,0.6870287963
GNRHR2,-0.5831403512,0.2984742106
SRPR,0.1952221369,0.3202352104
CDK2,-0.0350759309,0.9325685294
PGS1,0.1380183729,0.7183098403
TEX15,-0.2234044647,1
P2RX5-TAX1BP3,0.0263002318,0.9806823947
SBF2,-0.0469593214,0.9248621335
UTP14A,0.03953706,0.9356528125
MIR4720,-0.0785575908,1
CEP57,-0.2285615552,0.4832946778
LINC00115,-0.1601556613,0.8623661906
PAK3,0.0061771681,0.9955140075
ALKBH1,0.1353969962,0.7734960088
ACIN1,0.0740343426,0.7156591486
