log2FoldChange,padj
TMEM204,-1.5615579284,0.2662779814
CRAMP1L,-3.5076318582,0.0066212232
HN1L,-0.5515311703,0.6618876352
MAPK8IP3,-0.3374059489,0.8036371418
MIR3177,NaN,NaN
NME3,-2.8414872143,0.026646283
MRPS34,-1.4650703758,0.1859769715
EME2,-0.3016306989,NaN
SPSB3,-3.5851553145,0.0062810473
NUBP2,-1.4824362166,0.242552277
IGFALS,-0.0872912526,NaN
HAGH,-1.7159386254,0.1616537014
FAHD1,-0.0210614822,0.9915771773
MEIOB,-0.1593032806,NaN
LINC00254,NaN,NaN
HS3ST6,-0.0577779504,NaN
MSRB1,0.3812668656,0.8248151357
RPL3L,NaN,NaN
NDUFB10,-1.1894164387,NaN
RPS2,-0.6002673044,0.4837020567
SNORA10,-1.1255619202,NaN
SNORA64,-0.6292847608,NaN
SNHG9,-3.0405894338,0.0244449296
SNORA78,-0.1818960619,NaN
RNF151,-0.1643613479,NaN
TBL3,-1.4363484622,0.19893958
NOXO1,-0.0247642211,NaN
GFER,-3.0345212508,0.0246211121
SYNGR3,-0.4926643402,NaN
ZNF598,-1.465890745,0.1957702373
NPW,-0.1950895824,NaN
SLC9A3R2,-0.6687644656,0.675994388
NTHL1,-2.4844082279,0.0730202775
TSC2,-2.230796439,0.0767992098
PKD1,-1.2665383032,0.3345772701
MIR1225,NaN,NaN
MIR4516,NaN,NaN
MIR3180-5,NaN,NaN
RAB26,-0.3175095727,NaN
SNORD60,-0.9636337437,NaN
TRAF7,-0.2574990297,0.8663926684
CASKIN1,-0.0247642211,NaN
MLST8,-2.0930948252,0.1223712139
BRICD5,-1.1809097852,NaN
PGP,-0.7447207564,0.6244777
E4F1,-3.0182861116,0.0251072059
DNASE1L2,-0.1634306134,NaN
ECI1,-0.5757590547,0.7138831642
RNPS1,-2.027358297,0.063427479
MIR3677,-0.0441911372,NaN
MIR940,-0.0984150889,NaN
MIR4717,NaN,NaN
ABCA3,-0.1705387198,0.9083353201
ABCA17P,-0.2382551573,NaN
CCNF,0.3236909477,NaN
C16orf59,-0.0127306013,NaN
NTN3,NaN,NaN
TBC1D24,-1.4521491142,NaN
ATP6V0C,1.9008474392,0.0088285022
AMDHD2,-2.3545884035,NaN
CEMP1,-1.1063701572,NaN
MIR3178,-0.0232011249,NaN
PDPK1,-1.7040993391,0.1584513755
LOC652276,-0.871075415,NaN
FLJ42627,-1.0966147748,NaN
ERVK13-1,-2.5781018726,0.0594094959
KCTD5,-0.9986558684,NaN
PRSS27,-0.6498097498,NaN
SRRM2-AS1,-0.0635296015,NaN
SRRM2,-1.0658211872,0.2010873112
TCEB2,-1.1184076868,0.2788077167
PRSS33,-0.0247642211,NaN
PRSS41,NaN,NaN
PRSS21,-0.5700708646,NaN
ZG16B,-0.7159140509,NaN
PRSS30P,-0.8348754263,NaN
PRSS22,-1.8242509579,0.2069054753
FLYWCH2,-2.9531764572,0.0316374299
FLYWCH1,-3.152767159,0.0192009131
KREMEN2,-0.0127306013,NaN
PAQR4,-0.1832879568,NaN
PKMYT1,-0.0577779504,NaN
LINC00514,-0.0362339798,NaN
CLDN9,0.1438141102,NaN
CLDN6,-0.3500533646,NaN
TNFRSF12A,-0.7237313099,0.5828726134
HCFC1R1,-3.3180240832,0.0073176859
THOC6,-4.0010177666,0.0017304647
CCDC64B,-0.987387357,NaN
LOC100128770,2.0352487762,NaN
MMP25,2.9155498094,0.0017252485
IL32,0.1689939575,0.914990711
ZSCAN10,-0.0577779504,NaN
ZNF205-AS1,-0.0984150889,NaN
ZNF205,-1.7726233295,NaN
ZNF213,-1.5024520887,NaN
OR1F1,NaN,NaN
OR1F2P,NaN,NaN
ZNF200,0.971112586,0.441946721
MEFV,1.6772836684,0.1881065028
FLJ39639,1.5581398023,NaN
ZNF263,-2.59554216,0.0162390587
TIGD7,-0.2422682828,0.8759790639
ZNF75A,0.0180674431,0.9927691841
OR2C1,NaN,NaN
MTRNR2L4,-0.0815314786,NaN
ZSCAN32,-1.03394931,0.4273864653
ZNF174,-0.6829634713,NaN
ZNF597,0.1402665963,NaN
NAA60,-2.7107581814,NaN
C16orf90,NaN,NaN
CLUAP1,-1.4519257746,0.2813203065
NLRC3,-0.0698672997,0.9702323538
SLX4,1.2978719822,0.3139192695
DNASE1,2.5340432571,0.0691552057
TRAP1,-1.9538492291,0.0598679025
CREBBP,0.0090017509,0.99519948
ADCY9,-1.7109089741,0.1267900783
SRL,-2.9736469232,0.0275686273
LOC100507501,-0.7691343433,NaN
TFAP4,-1.3927427394,NaN
GLIS2,-0.1803341514,0.914990711
PAM16,-0.0127306013,NaN
CORO7-PAM16,NaN,NaN
CORO7,-1.1435058891,0.3835756028
VASN,-1.3715408058,NaN
DNAJA3,-1.5904172481,NaN
NMRAL1,-3.1212472507,0.0208851116
HMOX2,-1.5024401742,0.0970875791
CDIP1,-1.4325921044,0.2460858437
C16orf96,-0.0247642211,NaN
UBALD1,-1.6947544369,NaN
MGRN1,-2.6446598357,0.0264220398
NUDT16L1,-2.526267926,0.0664797598
ANKS3,-1.3160944142,0.3451436238
C16orf71,-0.2602848135,NaN
ZNF500,-1.275724793,NaN
SEPT12,NaN,NaN
LOC440335,0.4768517888,NaN
ROGDI,-0.7462024117,0.6500178117
GLYR1,-0.9209126462,0.4689070503
UBN1,-2.0384670488,0.0544353255
PPL,-1.5405305333,0.1741846147
SEC14L5,-0.0871423128,NaN
NAGPA,-2.0408631546,NaN
NAGPA-AS1,NaN,NaN
C16orf89,-0.8638002642,NaN
ALG1,-0.1154002348,0.947775779
FAM86A,-2.2469000666,NaN
RBFOX1,-0.2659917354,NaN
TMEM114,-0.1154693445,NaN
METTL22,-2.7193819197,0.0465806865
ABAT,-2.0274413018,NaN
TMEM186,-2.5514443597,0.0625304403
PMM2,-3.0335516444,0.0082010994
CARHSP1,-1.84715094,0.0598751389
USP7,-2.5191329949,NaN
C16orf72,-0.0981854303,0.9347503415
MIR548X,NaN,NaN
GRIN2A,-0.5890505151,NaN
ATF7IP2,0.8776740228,0.5098252551
EMP2,-1.8661869013,0.0275182771
TEKT5,-0.0777814876,NaN
NUBP1,-0.9777583143,0.4302464427
TVP23A,-1.5015985341,NaN
CIITA,0.1468118483,NaN
DEXI,-3.5552326517,0.0057605853
CLEC16A,-0.7904743521,0.5338720191
SOCS1,2.0563930128,0.0528799966
TNP2,NaN,NaN
PRM3,NaN,NaN
PRM2,NaN,NaN
PRM1,NaN,NaN
RMI2,-0.9365045637,NaN
LITAF,1.9545198897,0.0207799226
SNN,0.4466718808,0.6624786237
TXNDC11,-4.3152862119,0.0002780315
ZC3H7A,-3.8471930312,0.0007638925
BCAR4,-0.0635296015,NaN
RSL1D1,-0.1249025907,0.9191977997
GSPT1,0.2438440466,0.8185337805
TNFRSF17,1.1630671638,NaN
SNX29,-1.5496690166,0.2459178756
CPPED1,0.6296995914,0.7058373306
MIR4718,NaN,NaN
SHISA9,-0.1904494251,NaN
ERCC4,0.69599406,NaN
MKL2,-1.6282415033,0.2396380833
MIR193B,NaN,NaN
MIR365A,NaN,NaN
PARN,-2.1427129831,0.0977597091
BFAR,-0.6328874707,0.5822968183
PLA2G10,-0.645466415,NaN
ABCC6P2,-0.0871423128,NaN
NOMO1,0.6971687581,0.4705679033
MIR3179-1,NaN,NaN
MIR3179-2,NaN,NaN
MIR3179-3,NaN,NaN
MIR3180-1,NaN,NaN
MIR3180-3,NaN,NaN
MIR3180-2,NaN,NaN
NPIP,0.9933719001,0.4648613862
PDXDC1,-1.7797500895,0.099952603
NTAN1,-0.061708033,0.9701567743
RRN3,-1.1561041893,0.2531300427
MIR3180-4,NaN,NaN
MPV17L,-0.5669387872,NaN
C16orf45,-2.0947722522,0.1099283524
KIAA0430,-0.8429549276,0.4893085596
NDE1,0.2194542033,0.8851514148
MIR484,NaN,NaN
MYH11,-0.1437426571,0.933542599
FOPNL,0.2446636553,0.8762304421
ABCC1,-0.5651785131,0.7124365503
ABCC6,0.0560568461,NaN
NOMO3,-0.66768831,NaN
PKD1P1,0.0249139288,NaN
XYLT1,-2.9280214952,0.0316374299
NOMO2,-2.248332665,NaN
ABCC6P1,-0.2581070516,NaN
RPS15A,0.3386744577,0.6834693827
ARL6IP1,-0.1507889081,0.894804773
SMG1,-0.0163328267,0.992935725
TMC7,-1.8734381972,NaN
COQ7,-1.7773852761,0.1860987208
ITPRIPL2,-0.8366811555,0.5056285262
SYT17,-0.6000359935,NaN
CLEC19A,-0.1704955008,NaN
TMC5,-1.1883645248,0.4159048103
GDE1,-2.1987355377,0.0465671247
CCP110,0.6746096692,0.6152658251
C16orf62,-0.2302180486,0.8790139733
C16orf88,-2.3630172936,NaN
IQCK,1.8001366542,0.0860123877
GPRC5B,-3.0914396995,0.0211906695
GPR139,NaN,NaN
GP2,-0.0984150889,NaN
UMOD,NaN,NaN
PDILT,-0.0635296015,NaN
ACSM5,-1.0266894924,NaN
ACSM2A,-0.1950895824,NaN
ACSM2B,-0.1437465976,NaN
ACSM1,0.8440097687,NaN
THUMPD1,-1.4716484345,0.1872114667
ACSM3,-0.8313580843,NaN
ERI2,-1.0929329478,NaN
LOC81691,-1.076898036,NaN
DCUN1D3,2.26288239,0.0196435448
LYRM1,1.830767614,0.0132239426
DNAH3,-0.6782318122,NaN
TMEM159,-1.180260349,0.3369413017
ZP2,-0.0247642211,NaN
ANKS4B,2.8504427618,NaN
CRYM,-1.1964724027,NaN
CRYM-AS1,-0.0965089511,NaN
SNX29P1,-0.3220859058,NaN
NPIPL3,-0.7311477138,0.6326984763
LOC100190986,NaN,NaN
LOC100271836,-1.638200333,NaN
SLC7A5P2,-1.4691620712,NaN
METTL9,1.4049354237,0.0822044924
IGSF6,5.2932613467,6.27E-11
OTOA,1.4016846711,NaN
RRN3P1,-2.0158273303,NaN
UQCRC2,-1.2512653718,0.1451892796
PDZD9,-0.2231863501,NaN
C16orf52,0.1231440464,0.9415619472
VWA3A,-1.6261262928,NaN
EEF2K,-1.811331486,0.1878970819
POLR3E,-0.5799022196,0.6585896856
CDR2,-0.8776230839,0.442806132
RRN3P3,-1.6821873846,NaN
SMG1P1,-2.2749676599,0.1038075131
LOC100132247,-1.5388563702,0.2134157046
LOC653786,-0.4726838218,NaN
MIR548AA2,NaN,NaN
MIR548D2,NaN,NaN
HS3ST2,-0.8462998714,0.5600025945
USP31,-2.5434906406,0.0444979706
SCNN1G,-2.5453530078,0.065755812
SCNN1B,-1.929169495,NaN
COG7,-2.7937123819,0.041497805
GGA2,-3.3686528851,NaN
EARS2,0.317423728,0.813137872
UBFD1,-0.1179437315,0.9340260433
NDUFAB1,-1.9888601428,0.054619001
PALB2,0.0330728555,0.9857543099
DCTN5,-0.8863098881,0.4312852171
PLK1,-1.4369844307,NaN
ERN2,-0.0247642211,NaN
CHP2,-0.1655708024,NaN
PRKCB,-0.2070507434,0.887032573
CACNG3,-0.0441911372,NaN
RBBP6,-0.6845831967,0.6202560806
TNRC6A,-1.499207381,0.1781370645
SLC5A11,-0.1655708024,NaN
ARHGAP17,-1.5313730367,0.1540034122
LOC554206,-0.7012169078,NaN
LCMT1,0.2980692816,0.8217643352
LOC100506655,-0.0577779504,NaN
AQP8,-0.3047401687,NaN
ZKSCAN2,-2.0395109994,NaN
HS3ST4,NaN,NaN
C16orf82,-0.1437465976,NaN
KDM8,-1.7912610272,NaN
NSMCE1,-1.0778897969,0.3350097105
FLJ21408,1.1047648667,NaN
IL4R,-1.8791466577,0.0533562912
IL21R,1.8211739799,0.0989489983
IL21R-AS1,-0.0577779504,NaN
GTF3C1,-1.6697972764,0.1013786397
KIAA0556,-2.8672247499,0.0348095313
GSG1L,-0.3012097685,NaN
XPO6,-0.1720789016,0.9016831275
SBK1,-0.6694805499,NaN
EIF3CL,NaN,NaN
EIF3C,NaN,NaN
CLN3,-3.3480035278,0.0109644059
APOBR,1.8302678432,0.0824410997
IL27,4.7102660786,5.09E-05
NUPR1,-2.3371135278,0.0184747971
CCDC101,-0.6927269551,0.6084216189
SULT1A2,-2.1184582091,NaN
SULT1A1,-3.1081538434,0.0225884479
ATXN2L,0.3725236325,0.7900974624
TUFM,-1.0903910158,0.2048418606
MIR4721,NaN,NaN
SH2B1,-1.8708789478,0.1614950579
ATP2A1,-0.6730982258,NaN
LOC100289092,-0.0736443519,NaN
RABEP2,-2.1457906237,NaN
CD19,-0.3273898057,NaN
NFATC2IP,-0.4453798116,0.7428570653
MIR4517,-0.0362339798,NaN
SPNS1,-0.8416169095,0.5139217143
LAT,-2.8501250028,0.0363896363
RRN3P2,-1.5540454924,NaN
SNX29P2,-0.8504421608,NaN
LOC606724,NaN,NaN
BOLA2,NaN,NaN
BOLA2B,NaN,NaN
SLX1B,NaN,NaN
SLX1A,NaN,NaN
SLX1A-SULT1A3,NaN,NaN
SLX1B-SULT1A4,NaN,NaN
SULT1A4,NaN,NaN
SULT1A3,NaN,NaN
LOC613038,NaN,NaN
LOC388242,NaN,NaN
LOC440354,-1.5472442902,NaN
SLC7A5P1,-0.8502341558,NaN
SPN,-0.9361665723,NaN
QPRT,-1.3350206232,0.3849687687
C16orf54,-1.6127996079,NaN
ZG16,NaN,NaN
KIF22,-1.3350345829,0.3131956495
MAZ,-1.312870583,0.2505106475
PRRT2,-1.5681080602,NaN
PAGR1,-2.6158573914,0.0464060269
MVP,-1.577082079,0.1153554382
CDIPT,-0.3132161046,0.8305676394
LOC440356,-0.0679534862,NaN
SEZ6L2,2.9271119605,0.0178671425
ASPHD1,-0.8378441092,NaN
KCTD13,-0.2725184638,0.860969345
TMEM219,-1.3451703468,0.2545032723
TAOK2,-0.831577183,0.5471576733
HIRIP3,-2.7546866714,0.045447149
INO80E,-2.5699123077,0.0622588688
DOC2A,-0.2581070516,NaN
C16orf92,NaN,NaN
FAM57B,NaN,NaN
ALDOA,-0.7346183287,0.3956930166
PPP4C,-0.6758794987,0.4777143842
TBX6,-0.6121977952,NaN
YPEL3,2.4026211609,0.0127731626
GDPD3,-2.3888379165,0.0833503563
MAPK3,-1.5795212041,0.2130651497
CORO1A,-0.1027888449,0.9445238716
LOC613037,-0.3995642855,NaN
LOC595101,-0.5897064527,NaN
CD2BP2,-3.2638884145,NaN
TBC1D10B,1.4834872957,0.0765337911
MYLPF,-0.3669645314,NaN
SEPT1,0.8272705524,0.546111206
ZNF48,-1.2511570437,NaN
ZNF771,-1.0121686274,NaN
DCTPP1,-0.9520555085,0.4198269246
SEPHS2,-1.2430178955,0.282526076
ITGAL,-0.067704998,0.9656561136
MIR4518,NaN,NaN
ZNF768,-1.8055980463,0.1734817744
ZNF747,-1.6110072387,NaN
ZNF764,-2.0583957971,NaN
ZNF688,-2.4048974485,0.0828141586
ZNF785,-0.8607467881,NaN
ZNF689,-2.5427856412,0.063952357
PRR14,-0.9158937196,0.4024145427
FBRS,-1.2087792032,0.2858261093
LOC730183,1.3813724527,NaN
SRCAP,-2.7391449743,0.0103150322
SNORA30,-0.0127306013,NaN
LOC100862671,-0.7389721612,0.5875532603
PHKG2,-1.6981279585,NaN
C16orf93,-0.0472189909,NaN
RNF40,-2.0889140181,0.0401676942
ZNF629,-2.3788510485,0.0592560737
MIR4519,NaN,NaN
BCL7C,-1.7270190763,0.1915206709
MIR762,NaN,NaN
CTF1,3.4397399375,0.0026895986
FBXL19-AS1,-0.6929110225,NaN
FBXL19,-0.0230403944,NaN
ORAI3,0.4274765847,0.8161457503
SETD1A,-2.377645806,0.0648289634
HSD3B7,0.4481937367,0.7591303226
STX1B,-0.304777171,NaN
STX4,-0.534697825,0.7227478054
ZNF668,-0.6450443864,NaN
ZNF646,-1.159115927,0.4299814988
PRSS53,-1.5287502071,NaN
VKORC1,-0.6862224553,0.4741371133
BCKDK,-1.7077513743,0.1135329584
KAT8,-1.4941098364,0.1338314281
PRSS8,-1.6986066935,0.2257859303
PRSS36,-0.5604218343,NaN
FUS,0.3290889964,0.7866638942
PYCARD,-1.0187247852,0.5048321469
TRIM72,-0.0984150889,NaN
PYDC1,NaN,NaN
ITGAM,1.2597264713,0.3616359514
ITGAX,1.5740199716,0.154420765
ITGAD,-0.2459901571,NaN
COX6A2,NaN,NaN
ZNF843,-0.1797948016,NaN
ARMC5,-2.9289130837,0.0305825931
TGFB1I1,-1.0816218922,0.3417072105
SLC5A2,-0.8972580459,NaN
C16orf58,-0.9185509816,NaN
AHSP,-0.4406305606,NaN
CSDAP1,-0.2816365628,NaN
CLUHP3,-1.6361675715,NaN
ZNF720,1.282178133,0.308021639
ZNF267,0.2308867657,0.891476194
HERC2P4,NaN,NaN
TP53TG3D,-0.377947234,NaN
LOC390705,NaN,NaN
TP53TG3B,NaN,NaN
TP53TG3,NaN,NaN
TP53TG3C,NaN,NaN
SLC6A10P,NaN,NaN
RNU6-76,NaN,NaN
LINC00273,NaN,NaN
UBE2MP1,-0.1753091568,NaN
LOC283914,NaN,NaN
LOC146481,NaN,NaN
LOC100130700,NaN,NaN
RNA5SP411,NaN,NaN
FLJ26245,NaN,NaN
ANKRD26P1,-0.2490677526,NaN
SHCBP1,-0.610195298,NaN
VPS35,0.6676843957,0.5063305668
ORC6,-0.5065852459,NaN
MYLK3,-0.4696409577,NaN
C16orf87,-2.0664313309,NaN
GPT2,-0.8344704369,NaN
DNAJA2,-0.2138113034,0.8829474614
NETO2,0.2354545973,0.8851118943
ITFG1,0.6039401527,0.6283827958
PHKB,-0.8956956544,0.4493108915
ABCC12,-0.0441911372,NaN
ABCC11,-0.2746129987,NaN
MIR548AE2,NaN,NaN
LONP2,0.3796357738,0.8000314291
LOC100507577,-1.5852728528,NaN
SIAH1,-0.0082704002,NaN
N4BP1,0.7902492311,0.4239526892
CBLN1,-0.3012097685,NaN
C16orf78,-0.0441911372,NaN
ZNF423,-1.0197282257,NaN
CNEP1R1,-0.6070844268,0.6729573182
HEATR3,-0.7423381534,NaN
PAPD5,0.3880398237,0.7866638942
ADCY7,1.6612639003,0.0750504227
BRD7,-0.7523069291,0.4680084573
NKD1,-2.6122568945,0.0572829282
SNX20,1.8956756174,0.1090064122
NOD2,-1.4615292387,0.3258530654
CYLD,-0.5831253718,0.7371053204
SALL1,NaN,NaN
C16orf97,NaN,NaN
LOC100505619,2.7209444098,0.0486801616
TOX3,-0.5562609381,NaN
LOC643714,-0.0232011249,NaN
CHD9,-0.1125179147,0.9405817032
LOC643802,1.6174002564,0.266855289
RBL2,-1.0118999277,0.3268994582
AKTIP,0.2393999955,0.8496818696
RPGRIP1L,-1.0407097789,NaN
FTO,1.6282560512,0.0913300386
IRX3,1.2916795424,0.3474138695
CRNDE,0.9545016186,0.4709782524
IRX5,-0.5228474565,NaN
IRX6,-0.1226105098,NaN
MMP2,0.1132048536,0.9260583585
LPCAT2,0.5102993333,0.7196535462
CAPNS2,-0.1045876358,NaN
SLC6A2,-0.1704955008,NaN
CES1P2,-0.2066732707,NaN
CES1P1,-0.2878541359,NaN
CES1,-1.2881926115,0.2462373425
CES5A,NaN,NaN
LOC283856,-0.3383001487,NaN
GNAO1,-0.8026881824,NaN
DKFZP434H168,NaN,NaN
MIR3935,NaN,NaN
AMFR,-3.1556203038,0.003985612
NUDT21,-0.1057207878,0.9295238337
OGFOD1,0.7553761498,0.5483865061
BBS2,-1.3925965803,NaN
MT4,NaN,NaN
MT3,-0.1968058487,NaN
MT2A,0.8518117998,0.3549646364
MT1L,-0.559390714,0.6355173004
MT1E,-0.5736959135,0.6929013426
MT1M,-0.971751166,0.5188672272
MT1JP,-1.4990909722,0.3124982973
MT1A,0.3209313185,0.7605500966
MT1DP,0.473321921,NaN
MT1B,-0.0127306013,NaN
MT1F,0.0769449127,0.9689918213
MT1G,-0.5483123142,0.7089550609
MT1H,0.064349301,0.9741210405
MT1IP,-0.1154693445,NaN
MT1X,-0.0638057307,0.9718663507
NUP93,-0.5692368021,0.6298755634
MIR138-2,NaN,NaN
SLC12A3,-0.0127306013,NaN
HERPUD1,-2.8230854472,NaN
CETP,-1.6837474792,NaN
NLRC5,-1.0120539202,0.3450123671
CPNE2,-0.899153343,0.5012268223
FAM192A,0.4877845467,0.6698028465
RSPRY1,-1.0553514015,0.4583871435
ARL2BP,0.2959990492,0.8224504061
PLLP,-3.1555643495,0.0199528558
CCL22,0.0197736262,0.9931418362
CX3CL1,0.090075879,0.9366591955
CCL17,-0.221232717,NaN
CIAPIN1,-1.2145759008,0.2915727487
COQ9,-0.9508284977,0.4524786959
POLR2C,-0.2037937516,0.8671748524
DOK4,-2.8764142815,0.0353464937
CCDC102A,-1.9101834604,NaN
GPR114,-1.2293842433,NaN
GPR56,-1.6111917398,0.0659768198
GPR97,2.2346963388,0.0488976053
CCDC135,2.2511840258,NaN
KATNB1,-2.8245716543,0.0383225393
KIFC3,-1.7279280546,0.0852238254
CNGB1,2.1873542708,NaN
TEPP,-0.5773496523,NaN
ZNF319,-1.6777563888,NaN
USB1,2.4429566566,0.0004973597
MMP15,-0.066352796,0.9744612584
C16orf80,-3.9439186546,0.0014727876
CSNK2A2,-2.2292647998,0.0852238254
CCDC113,2.0513616583,0.0906041664
PRSS54,NaN,NaN
GINS3,-1.8353296745,NaN
NDRG4,-1.6736550816,0.2504286767
SETD6,-2.5217584039,0.0657763174
CNOT1,-1.0590011027,0.3886615988
SNORA46,-0.0362339798,NaN
SNORA50,-0.0362339798,NaN
SLC38A7,0.2278343812,NaN
GOT2,0.5554986481,0.5524708842
LOC644649,-0.3955612213,NaN
CDH8,-0.0441911372,NaN
CDH11,-2.2252617346,0.0648146438
LOC283867,-0.3065580722,NaN
CDH5,-1.4742278807,0.0619564287
LOC100505865,1.6289822951,NaN
BEAN1,-0.5048708748,NaN
TK2,-0.3977100332,0.8176581553
CKLF,3.0536036109,0.010556283
CKLF-CMTM1,NaN,NaN
CMTM1,-0.1797948016,NaN
CMTM2,2.474433617,0.0709528093
CMTM3,-1.1105391299,0.2457112738
CMTM4,0.0538984674,0.9751042887
DYNC1LI2,-0.2393589114,0.8218918009
CCDC79,-0.247798567,NaN
NAE1,0.277021162,0.8584854234
CA7,-0.0871423128,NaN
PDP2,-1.9667266914,NaN
CDH16,0.1698397877,NaN
RRAD,-5.2787257381,2.36E-06
FAM96B,-0.6941128294,0.5012268223
CES2,-0.3766579084,0.797798311
CES3,-0.2926542764,NaN
CES4A,0.5598712965,NaN
CBFB,-0.2996298362,0.8438212578
C16orf70,-1.6596146688,NaN
B3GNT9,0.4133873136,NaN
TRADD,-0.8963814915,0.4588246577
FBXL8,-0.6917303284,NaN
HSF4,-2.2460845893,0.1084737685
NOL3,-0.9666125488,0.479329777
KIAA0895L,-2.7592985349,0.045752106
EXOC3L1,-1.0207972719,NaN
E2F4,-2.4448676013,NaN
ELMO3,-2.2686983668,NaN
MIR328,NaN,NaN
LRRC29,-0.8801635267,NaN
TMEM208,-3.3456593227,0.0037278752
FHOD1,-2.5859245583,NaN
SLC9A5,-1.2236657701,NaN
PLEKHG4,-2.4778407031,0.0715443706
KCTD19,-0.1467000861,NaN
LRRC36,-1.1021560324,NaN
TPPP3,-0.7644434303,0.6222550702
ZDHHC1,-1.4908551229,0.3206805387
HSD11B2,-1.070960845,NaN
ATP6V0D1,-1.9048772718,0.0699244369
AGRP,-0.7858074405,NaN
FAM65A,-1.1933583277,0.1425543344
CTCF,-3.8010547435,0.002538641
RLTPR,-0.8816025484,NaN
ACD,-1.8409936035,0.125604725
PARD6A,-1.5621463624,NaN
ENKD1,-2.9600007651,0.0287748041
C16orf86,-1.3668938974,NaN
GFOD2,-1.6228274491,0.1889507496
RANBP10,-3.0175217528,0.0150369798
TSNAXIP1,-0.8204368093,NaN
CENPT,-2.9048249452,0.018985833
THAP11,-1.2266477288,0.3463528953
NUTF2,0.927171909,0.2714370295
EDC4,-4.3311887818,0.0002472017
NRN1L,-0.5669387872,NaN
PSKH1,0.0042528859,0.9982757897
CTRL,-0.6027291961,NaN
PSMB10,-1.7344687871,0.0592362764
LCAT,-1.8882907803,0.1305685179
SLC12A4,-1.2349823846,NaN
DPEP3,1.0419230745,NaN
DPEP2,0.2311476577,0.8972435538
DDX28,-2.2155524595,NaN
DUS2L,-2.4067895569,0.0807075145
NFATC3,-2.6772743202,0.0192039944
ESRP2,-2.0525724412,NaN
PLA2G15,-2.7307337572,0.045752106
SLC7A6,-0.2495175388,0.8808296556
SLC7A6OS,-1.7988940131,NaN
PRMT7,-2.0712302046,0.1241128712
SMPD3,1.1747467764,0.4562476686
ZFP90,-2.2422411499,0.0845446193
CDH3,0.0504241864,0.9811825438
CDH1,-0.0468753781,0.9820818404
TANGO6,-2.5242112374,0.0654893539
HAS3,0.057025088,0.9791134292
CHTF8,-0.6268813848,0.642638397
CIRH1A,0.9701148544,0.3088550305
SNTB2,0.090381341,0.9472588484
VPS4A,-1.0658433336,0.3429669374
COG8,-0.9799905886,0.5025895982
PDF,-1.0308408313,NaN
NIP7,-0.1478077231,0.9275942773
TMED6,0.3729494456,NaN
TERF2,1.5087713463,0.0603720842
CYB5B,0.9914808427,0.3385437733
MIR1538,-0.22870819,NaN
NFAT5,1.2140361777,0.2731090245
NQO1,1.6482358827,0.0586637164
NOB1,-0.7932342106,0.4101007363
WWP2,0.4245872975,0.7310555286
MIR140,NaN,NaN
CLEC18A,-0.4174414329,NaN
PDXDC2P,-1.6644331911,0.148280074
MIR1972-1,NaN,NaN
MIR1972-2,NaN,NaN
PDPR,0.5448835746,0.6463013174
CLEC18C,NaN,NaN
LOC100506060,-1.3369684195,NaN
EXOSC6,-1.3581785324,NaN
AARS,-1.1373236104,0.2421944973
DDX19B,-0.4069209565,0.7812988257
LOC100506083,-0.6972115146,NaN
DDX19A,-0.0086311277,0.99519948
ST3GAL2,0.1289480217,0.9330994151
FUK,-2.0171415101,NaN
COG4,-2.9856124674,0.019559649
SF3B3,0.1957377184,0.865114895
SNORD111B,NaN,NaN
SNORD111,-0.0127306013,NaN
IL34,-1.8519270751,NaN
MTSS1L,-0.4961293015,0.7451982718
VAC14,-1.2043680587,0.3017811875
LOC100130894,-0.1655708024,NaN
HYDIN,-0.1082968511,NaN
FTSJD1,-2.6414342587,0.0537755957
CALB2,-1.2483907124,NaN
ZNF23,-1.1839275607,0.3739397287
ZNF19,0.2102481476,NaN
CHST4,0.5653018835,NaN
TAT,-0.6591076102,NaN
MARVELD3,-0.1225132827,NaN
PHLPP2,-2.8280355822,0.0398913358
SNORA70D,NaN,NaN
AP1G1,-0.692538937,0.6327407528
SNORD71,-0.0577779504,NaN
ATXN1L,-1.5421686939,0.1188514471
ZNF821,-2.3430299127,0.0913449737
IST1,-1.8272092269,0.1389664053
PKD1L3,-0.3396257335,NaN
DHODH,1.1367635735,0.3663505334
HP,2.2424773099,0.0173458926
HPR,2.149146458,NaN
TXNL4B,0.9779315402,0.3592699551
DHX38,-1.891778497,0.0556559346
PMFBP1,-0.1704955008,NaN
ZFHX3,-1.2272282618,0.3272856921
HTA,2.6048151717,NaN
LOC100506172,NaN,NaN
PSMD7,-0.8129851654,0.4430201687
LOC283922,-0.9441957743,NaN
CLEC18B,-0.0362339798,NaN
GLG1,-1.9296479754,0.0684876959
RFWD3,0.7022313354,0.5633611996
MLKL,1.5595431582,0.0967991402
FA2H,-0.7400138124,NaN
WDR59,-1.3424920531,0.2666581877
ZNRF1,0.244016395,0.8675709294
LDHD,-1.482501374,NaN
ZFP1,0.1611369262,NaN
CTRB2,-0.0362339798,NaN
CTRB1,-0.0362339798,NaN
BCAR1,-2.7915879058,NaN
CFDP1,-1.3443595236,0.2216277249
TMEM170A,0.8436649478,0.5580467488
CHST6,-0.5811766462,NaN
CHST5,-0.2070125497,NaN
TMEM231,-2.2628561509,NaN
GABARAPL2,0.466357738,0.6156988193
ADAT1,1.3675379677,0.2845338522
